|NombreProceso|NombreGrupo|Fecha|total_ejecucionesFecha|total_mipsFecha
1316|WFL/OPCON/COPIA/SALIDA/CRECEACE|OPERACION|2024-09-11|1|1.283171950987839e-06
1317|*SYSTEM/NPSCS/SUPPORT|UNISYS_SW1|2024-09-11|2|0.0
1318|WFL/OPCON/WRAVIDESLI|DESPACHOS|2024-09-11|47|0.004273025190543211
1319|WFL/OPCON/COPIA/ENTRADA/PRACTREVMI|OPERACION|2024-09-11|1|2.1281876260286107e-06
1320|(SINCO)PSINCO/PRWCAMFECH ON EXF|CXP|2024-09-11|1|0.00016131975174065407
1321|WFL/OPCON/INDEXA/NITVMI/POR/NIT|OPERACION|2024-09-11|3|8.684883326807934e-06
1322|WFL/OPCON/COPIA/IMPRESION/DREXLICONS|VENTAS|2024-09-11|1|6.259375370672384e-07
1323|WFL/OPCON/COPIA/SALIDA/RESPALDO/CRCEEVCVER|OPERACION|2024-09-11|1|2.8480157936559352e-06
1324|WFL/OPCON/COPIA/SALIDA/DRAGOTA|OPERACION|2024-09-11|1|1.9560548033351204e-06
1325|WFL/OPCON/COPIA/ENTRADA/RESPALDO/WRPMCARMAR|OPERACION|2024-09-11|69|0.00014326145379626418
1326|(SINCO)PSINCO/DRDEVOLPRO ON EXF|UNISYS_UNASSIGNED|2024-09-11|2|1.0640938130143055e-06
1327|WFL/OPCON/COPIA/ENTRADA/IRTRAMILAN|OPERACION|2024-09-11|796|0.0020457985977121347
1328|WFL/OPCON/COPIA/SALIDA/IRCOINVWMS|OPERACION|2024-09-11|30|4.810329972361728e-05
1329|WFL/OPCON/COPIA/ENTRADA/RESPALDO/CRCEFSBL|OPERACION|2024-09-11|2|4.444156513177393e-06
1330|WFL/OPCON/PARAMETROS/PRECIOSENLINEA|OPERACION|2024-09-11|92|0.0013573924944455865
1331|WFL/OPCON/COPIA/SALIDA/CRCAMPREFU|OPERACION|2024-09-11|1|1.6117891579481392e-06
1332|WFL/OPCON/COPIA/SALIDA/WREDIDEVPR|OPERACION|2024-09-11|2|3.317468946456364e-06
1333|WFL/OPCON/CRBORRVTAS|OPERACION|2024-09-11|1|2.6602345325357634e-06
1334|WFL/OPCON/WRESXORL|ROTAR|2024-09-11|2|1.5757977495667727e-05
1335|(SINCO)PSINCO/DRDASINPLU ON EXF|RESURTIDO|2024-09-11|6|0.012546996172704928
1336|(SINCO)OBJECT/PSINCO/OPCON/COBOL/LEE/WRAVIRECLI ON EXF|COMPRAS|2024-09-11|6213|0.037189859686711936
1337|WFL/OPCON/CRCARCERPX|VENTAS|2024-09-11|12|1.4881664943773598e-05
1338|(SINCO)PSINCO/CRDESINEXC ON EXF|DIFUSIONES|2024-09-11|2|0.0009019133971601839
1339|(SINCO)PSINCO/CRCEPECAR ON EXF|UNISYS_UNASSIGNED|2024-09-11|2|0.0003222952378359211
1340|WFL/OPCON/CRGEPLAEVE|OPERACION|2024-09-11|78|0.00012118150717621741
1341|(SINCO)PSINCO/WRPMCARPAV ON EXF|UNISYS_UNASSIGNED|2024-09-11|1|0.0001544657357097678
1342|(SINCO)OBJECT/COBOL/INDEXA/NITS/IRTOMAFVMI ON EXF|INVENTARIOS|2024-09-11|1|6.807070715606219e-06
1343|WFL/OPCON/COPIA/SALIDA/WRTRAUPLRB|OPERACION|2024-09-11|254|0.000348177754993651
1344|WFL/OPCON/WRESXCAL|ROTAR|2024-09-11|1|1.283171950987839e-06
1345|WFL/OPCON/CRSOLPDOTA|OPERACION|2024-09-11|1|1.4083594584012866e-06
1346|WFL/OPCON/WRCARGAALI|OPERACION|2024-09-11|101|0.00014557742268341296
1347|(SINCO)PSINCO/CRMARTENOV ON EXF|PRECIOS|2024-09-11|1|0.0028483444108628954
1348|WFL/OPCON/WRRECMARCA|MARCACION|2024-09-11|139|0.00032154411279144046
1349|(SINCO)PSINCO/DRETIXPOR ON EXF|UNISYS_UNASSIGNED|2024-09-11|2|0.23357785583218849
1350|WFL/OPCON/COPIA/SALIDA/RESPALDO/WRCARUPLMQ|OPERACION|2024-09-11|258|0.0005112344833996669
1351|WFL/OPCON/COPIA/SALIDA/RESPALDO/WRLOCDEP|OPERACION|2024-09-11|1|1.9560548033351204e-06
1352|WFL/OPCON/SRSEUSUCSU|OPERACION|2024-09-11|1|1.2988203894145198e-06
